source_sheet,source_cell,target_sheet,target_reference,reference_type
FORT DAUPHIN,Z41,FORT DAUPHIN,N41,CELL
FORT DAUPHIN,Z41,FORT DAUPHIN,J41,CELL
FORT DAUPHIN,Z42,FORT DAUPHIN,N42,CELL
FORT DAUPHIN,Z42,FORT DAUPHIN,J42,CELL
FORT DAUPHIN,Z43,FORT DAUPHIN,N43,CELL
FORT DAUPHIN,Z43,FORT DAUPHIN,J43,CELL
FORT DAUPHIN,Z44,FORT DAUPHIN,N44,CELL
FORT DAUPHIN,Z44,FORT DAUPHIN,J44,CELL
FORT DAUPHIN,Z45,FORT DAUPHIN,N45,CELL
FORT DAUPHIN,Z45,FORT DAUPHIN,J45,CELL
FORT DAUPHIN,Z46,FORT DAUPHIN,N46,CELL
FORT DAUPHIN,Z46,FORT DAUPHIN,J46,CELL
FORT DAUPHIN,Z47,FORT DAUPHIN,N47,CELL
FORT DAUPHIN,Z47,FORT DAUPHIN,J47,CELL
FORT DAUPHIN,Z48,FORT DAUPHIN,N48,CELL
FORT DAUPHIN,Z48,FORT DAUPHIN,J48,CELL
FORT DAUPHIN,Z49,FORT DAUPHIN,N49,CELL
FORT DAUPHIN,Z49,FORT DAUPHIN,J49,CELL
FORT DAUPHIN,Z50,FORT DAUPHIN,N50,CELL
FORT DAUPHIN,Z50,FORT DAUPHIN,J50,CELL
FORT DAUPHIN,Z51,FORT DAUPHIN,N51,CELL
FORT DAUPHIN,Z51,FORT DAUPHIN,J51,CELL
FORT DAUPHIN,Z52,FORT DAUPHIN,N52,CELL
FORT DAUPHIN,Z52,FORT DAUPHIN,J52,CELL
FORT DAUPHIN,Z53,FORT DAUPHIN,N53,CELL
FORT DAUPHIN,Z53,FORT DAUPHIN,J53,CELL
FORT DAUPHIN,Z54,FORT DAUPHIN,N54,CELL
FORT DAUPHIN,Z54,FORT DAUPHIN,J54,CELL
FORT DAUPHIN,Z55,FORT DAUPHIN,N55,CELL
FORT DAUPHIN,Z55,FORT DAUPHIN,J55,CELL
FORT DAUPHIN,Z56,FORT DAUPHIN,N56,CELL
FORT DAUPHIN,Z56,FORT DAUPHIN,J56,CELL
FORT DAUPHIN,Z57,FORT DAUPHIN,N57,CELL
FORT DAUPHIN,Z57,FORT DAUPHIN,J57,CELL
FORT DAUPHIN,Z58,FORT DAUPHIN,N58,CELL
FORT DAUPHIN,Z58,FORT DAUPHIN,J58,CELL
FORT DAUPHIN,Z59,FORT DAUPHIN,N59,CELL
FORT DAUPHIN,Z59,FORT DAUPHIN,J59,CELL
FORT DAUPHIN,Z60,FORT DAUPHIN,N60,CELL
FORT DAUPHIN,Z60,FORT DAUPHIN,J60,CELL
FORT DAUPHIN,Z61,FORT DAUPHIN,N61,CELL
FORT DAUPHIN,Z61,FORT DAUPHIN,J61,CELL
FORT DAUPHIN,Z62,FORT DAUPHIN,N62,CELL
FORT DAUPHIN,Z62,FORT DAUPHIN,J62,CELL
FORT DAUPHIN,Z63,FORT DAUPHIN,N63,CELL
FORT DAUPHIN,Z63,FORT DAUPHIN,J63,CELL
FORT DAUPHIN,Z64,FORT DAUPHIN,N64,CELL
FORT DAUPHIN,Z64,FORT DAUPHIN,J64,CELL
FORT DAUPHIN,Z65,FORT DAUPHIN,N65,CELL
FORT DAUPHIN,Z65,FORT DAUPHIN,J65,CELL
FORT DAUPHIN,Z66,FORT DAUPHIN,N66,CELL
FORT DAUPHIN,Z66,FORT DAUPHIN,J66,CELL
FORT DAUPHIN,Z67,FORT DAUPHIN,N67,CELL
FORT DAUPHIN,Z67,FORT DAUPHIN,J67,CELL
FORT DAUPHIN,Z68,FORT DAUPHIN,N68,CELL
FORT DAUPHIN,Z68,FORT DAUPHIN,J68,CELL
FORT DAUPHIN,Z69,FORT DAUPHIN,N69,CELL
FORT DAUPHIN,Z69,FORT DAUPHIN,J69,CELL
FORT DAUPHIN,Z70,FORT DAUPHIN,N70,CELL
FORT DAUPHIN,Z70,FORT DAUPHIN,J70,CELL
FORT DAUPHIN,Z71,FORT DAUPHIN,N71,CELL
FORT DAUPHIN,Z71,FORT DAUPHIN,J71,CELL
FORT DAUPHIN,Z72,FORT DAUPHIN,N72,CELL
FORT DAUPHIN,Z72,FORT DAUPHIN,J72,CELL
FORT DAUPHIN,Z73,FORT DAUPHIN,N73,CELL
FORT DAUPHIN,Z73,FORT DAUPHIN,J73,CELL
FORT DAUPHIN,Z74,FORT DAUPHIN,N74,CELL
FORT DAUPHIN,Z74,FORT DAUPHIN,J74,CELL
FORT DAUPHIN,Z75,FORT DAUPHIN,N75,CELL
FORT DAUPHIN,Z75,FORT DAUPHIN,J75,CELL
FORT DAUPHIN,Z76,FORT DAUPHIN,N76,CELL
FORT DAUPHIN,Z76,FORT DAUPHIN,J76,CELL
FORT DAUPHIN,Z77,FORT DAUPHIN,N77,CELL
FORT DAUPHIN,Z77,FORT DAUPHIN,J77,CELL
FORT DAUPHIN,Z78,FORT DAUPHIN,N78,CELL
FORT DAUPHIN,Z78,FORT DAUPHIN,J78,CELL
FORT DAUPHIN,G138,FORT DAUPHIN,G7:G135,RANGE
FORT DAUPHIN,H138,FORT DAUPHIN,H7:H135,RANGE
FORT DAUPHIN,I138,FORT DAUPHIN,I7:I135,RANGE
FORT DAUPHIN,J138,FORT DAUPHIN,J7:J135,RANGE
FORT DAUPHIN,K138,FORT DAUPHIN,K7:K135,RANGE
FORT DAUPHIN,L138,FORT DAUPHIN,L7:L135,RANGE
FORT DAUPHIN,M138,FORT DAUPHIN,M7:M135,RANGE
FORT DAUPHIN,N138,FORT DAUPHIN,N7:N135,RANGE
FORT DAUPHIN,O138,FORT DAUPHIN,O7:O135,RANGE
FORT DAUPHIN,P138,FORT DAUPHIN,P7:P135,RANGE
FORT DAUPHIN,Q138,FORT DAUPHIN,Q7:Q135,RANGE
FORT DAUPHIN,R138,FORT DAUPHIN,R7:R135,RANGE
FORT DAUPHIN,S138,FORT DAUPHIN,S7:S135,RANGE
FORT DAUPHIN,T138,FORT DAUPHIN,T7:T135,RANGE
FORT DAUPHIN,U138,FORT DAUPHIN,U7:U135,RANGE
FORT DAUPHIN,E139,FORT DAUPHIN,E5,CELL
FORT DAUPHIN,L139,FORT DAUPHIN,L5,CELL
FORT DAUPHIN,M139,FORT DAUPHIN,M5,CELL
FORT DAUPHIN,N139,FORT DAUPHIN,N5,CELL
FORT DAUPHIN,O139,FORT DAUPHIN,O5,CELL
FORT DAUPHIN,P139,FORT DAUPHIN,P5,CELL
FORT DAUPHIN,Q139,FORT DAUPHIN,Q5,CELL
FORT DAUPHIN,R139,FORT DAUPHIN,R5,CELL
FORT DAUPHIN,S139,FORT DAUPHIN,S5,CELL
FORT DAUPHIN,T139,FORT DAUPHIN,T5,CELL
FORT DAUPHIN,U139,FORT DAUPHIN,U5,CELL
FORT DAUPHIN,G141,FORT DAUPHIN,E141,CELL
FORT DAUPHIN,H141,FORT DAUPHIN,F141,CELL
FORT DAUPHIN,G142,FORT DAUPHIN,E142,CELL
FORT DAUPHIN,H142,FORT DAUPHIN,F142,CELL
FORT DAUPHIN,G143,FORT DAUPHIN,E143,CELL
FORT DAUPHIN,H143,FORT DAUPHIN,F143,CELL
FORT DAUPHIN,G144,FORT DAUPHIN,E144,CELL
FORT DAUPHIN,H144,FORT DAUPHIN,F144,CELL
FORT DAUPHIN,G145,FORT DAUPHIN,E145,CELL
FORT DAUPHIN,H145,FORT DAUPHIN,F145,CELL
FORT DAUPHIN,G146,FORT DAUPHIN,E146,CELL
FORT DAUPHIN,H146,FORT DAUPHIN,F146,CELL
FORT DAUPHIN,G147,FORT DAUPHIN,G141:G146,RANGE
FORT DAUPHIN,H147,FORT DAUPHIN,H141:H146,RANGE
FORT DAUPHIN,G148,FORT DAUPHIN,E148,CELL
FORT DAUPHIN,H148,FORT DAUPHIN,F148,CELL
FORT DAUPHIN,L148,FORT DAUPHIN,J148,CELL
FORT DAUPHIN,L148,FORT DAUPHIN,K148,CELL
FORT DAUPHIN,G149,FORT DAUPHIN,E149,CELL
FORT DAUPHIN,H149,FORT DAUPHIN,F149,CELL
FORT DAUPHIN,L149,FORT DAUPHIN,J149,CELL
FORT DAUPHIN,L149,FORT DAUPHIN,K149,CELL
FORT DAUPHIN,G150,FORT DAUPHIN,E150,CELL
FORT DAUPHIN,H150,FORT DAUPHIN,F150,CELL
FORT DAUPHIN,L150,FORT DAUPHIN,J150,CELL
FORT DAUPHIN,L150,FORT DAUPHIN,K150,CELL
FORT DAUPHIN,G151,FORT DAUPHIN,E151,CELL
FORT DAUPHIN,H151,FORT DAUPHIN,F151,CELL
FORT DAUPHIN,G152,FORT DAUPHIN,E152,CELL
FORT DAUPHIN,H152,FORT DAUPHIN,F152,CELL
FORT DAUPHIN,G153,FORT DAUPHIN,E153,CELL
FORT DAUPHIN,H153,FORT DAUPHIN,F153,CELL
FORT DAUPHIN,G154,FORT DAUPHIN,E154,CELL
FORT DAUPHIN,H154,FORT DAUPHIN,F154,CELL
FORT DAUPHIN,G155,FORT DAUPHIN,G148:G154,RANGE
FORT DAUPHIN,H155,FORT DAUPHIN,H148:H154,RANGE
FORT DAUPHIN,G156,FORT DAUPHIN,E156,CELL
FORT DAUPHIN,H156,FORT DAUPHIN,F156,CELL
FORT DAUPHIN,L156,FORT DAUPHIN,J156,CELL
FORT DAUPHIN,L156,FORT DAUPHIN,K156,CELL
FORT DAUPHIN,G157,FORT DAUPHIN,E157,CELL
FORT DAUPHIN,H157,FORT DAUPHIN,F157,CELL
FORT DAUPHIN,L157,FORT DAUPHIN,J157,CELL
FORT DAUPHIN,L157,FORT DAUPHIN,K157,CELL
FORT DAUPHIN,G158,FORT DAUPHIN,E158,CELL
FORT DAUPHIN,H158,FORT DAUPHIN,F158,CELL
FORT DAUPHIN,L158,FORT DAUPHIN,J158,CELL
FORT DAUPHIN,L158,FORT DAUPHIN,K158,CELL
FORT DAUPHIN,G159,FORT DAUPHIN,E159,CELL
FORT DAUPHIN,H159,FORT DAUPHIN,F159,CELL
FORT DAUPHIN,L159,FORT DAUPHIN,J159,CELL
FORT DAUPHIN,L159,FORT DAUPHIN,K159,CELL
FORT DAUPHIN,G160,FORT DAUPHIN,E160,CELL
FORT DAUPHIN,H160,FORT DAUPHIN,F160,CELL
FORT DAUPHIN,L160,FORT DAUPHIN,J160,CELL
FORT DAUPHIN,L160,FORT DAUPHIN,K160,CELL
FORT DAUPHIN,G161,FORT DAUPHIN,E161,CELL
FORT DAUPHIN,H161,FORT DAUPHIN,F161,CELL
FORT DAUPHIN,L161,FORT DAUPHIN,J161,CELL
FORT DAUPHIN,L161,FORT DAUPHIN,K161,CELL
FORT DAUPHIN,G162,FORT DAUPHIN,E162,CELL
FORT DAUPHIN,H162,FORT DAUPHIN,F162,CELL
FORT DAUPHIN,L162,FORT DAUPHIN,J162,CELL
FORT DAUPHIN,L162,FORT DAUPHIN,K162,CELL
FORT DAUPHIN,G163,FORT DAUPHIN,E163,CELL
FORT DAUPHIN,H163,FORT DAUPHIN,F163,CELL
FORT DAUPHIN,L163,FORT DAUPHIN,J163,CELL
FORT DAUPHIN,L163,FORT DAUPHIN,K163,CELL
FORT DAUPHIN,G164,FORT DAUPHIN,E164,CELL
FORT DAUPHIN,H164,FORT DAUPHIN,F164,CELL
FORT DAUPHIN,L164,FORT DAUPHIN,J164,CELL
FORT DAUPHIN,L164,FORT DAUPHIN,K164,CELL
FORT DAUPHIN,G165,FORT DAUPHIN,E165,CELL
FORT DAUPHIN,H165,FORT DAUPHIN,F165,CELL
FORT DAUPHIN,L165,FORT DAUPHIN,J165,CELL
FORT DAUPHIN,L165,FORT DAUPHIN,K165,CELL
FORT DAUPHIN,G166,FORT DAUPHIN,E166,CELL
FORT DAUPHIN,H166,FORT DAUPHIN,F166,CELL
FORT DAUPHIN,L166,FORT DAUPHIN,J166,CELL
FORT DAUPHIN,L166,FORT DAUPHIN,K166,CELL
FORT DAUPHIN,G167,FORT DAUPHIN,E167,CELL
FORT DAUPHIN,H167,FORT DAUPHIN,F167,CELL
FORT DAUPHIN,L167,FORT DAUPHIN,J167,CELL
FORT DAUPHIN,L167,FORT DAUPHIN,K167,CELL
FORT DAUPHIN,G168,FORT DAUPHIN,E168,CELL
FORT DAUPHIN,H168,FORT DAUPHIN,F168,CELL
FORT DAUPHIN,L168,FORT DAUPHIN,J168,CELL
FORT DAUPHIN,L168,FORT DAUPHIN,K168,CELL
FORT DAUPHIN,G169,FORT DAUPHIN,E169,CELL
FORT DAUPHIN,H169,FORT DAUPHIN,F169,CELL
FORT DAUPHIN,L169,FORT DAUPHIN,J169,CELL
FORT DAUPHIN,L169,FORT DAUPHIN,K169,CELL
FORT DAUPHIN,G170,FORT DAUPHIN,E170,CELL
FORT DAUPHIN,H170,FORT DAUPHIN,F170,CELL
FORT DAUPHIN,L170,FORT DAUPHIN,J170,CELL
FORT DAUPHIN,L170,FORT DAUPHIN,K170,CELL
FORT DAUPHIN,G171,FORT DAUPHIN,E171,CELL
FORT DAUPHIN,H171,FORT DAUPHIN,F171,CELL
FORT DAUPHIN,L171,FORT DAUPHIN,J171,CELL
FORT DAUPHIN,L171,FORT DAUPHIN,K171,CELL
FORT DAUPHIN,G172,FORT DAUPHIN,E172,CELL
FORT DAUPHIN,H172,FORT DAUPHIN,F172,CELL
FORT DAUPHIN,L172,FORT DAUPHIN,J172,CELL
FORT DAUPHIN,L172,FORT DAUPHIN,K172,CELL
FORT DAUPHIN,G173,FORT DAUPHIN,E173,CELL
FORT DAUPHIN,H173,FORT DAUPHIN,F173,CELL
FORT DAUPHIN,L173,FORT DAUPHIN,J173,CELL
FORT DAUPHIN,L173,FORT DAUPHIN,K173,CELL
FORT DAUPHIN,G174,FORT DAUPHIN,E174,CELL
FORT DAUPHIN,H174,FORT DAUPHIN,F174,CELL
FORT DAUPHIN,L174,FORT DAUPHIN,J174,CELL
FORT DAUPHIN,L174,FORT DAUPHIN,K174,CELL
FORT DAUPHIN,G175,FORT DAUPHIN,E175,CELL
FORT DAUPHIN,H175,FORT DAUPHIN,F175,CELL
FORT DAUPHIN,L175,FORT DAUPHIN,J175,CELL
FORT DAUPHIN,L175,FORT DAUPHIN,K175,CELL
FORT DAUPHIN,G176,FORT DAUPHIN,E176,CELL
FORT DAUPHIN,H176,FORT DAUPHIN,F176,CELL
FORT DAUPHIN,L176,FORT DAUPHIN,J176,CELL
FORT DAUPHIN,L176,FORT DAUPHIN,K176,CELL
FORT DAUPHIN,G177,FORT DAUPHIN,E177,CELL
FORT DAUPHIN,H177,FORT DAUPHIN,F177,CELL
FORT DAUPHIN,L177,FORT DAUPHIN,J177,CELL
FORT DAUPHIN,L177,FORT DAUPHIN,K177,CELL
FORT DAUPHIN,G178,FORT DAUPHIN,G156:G177,RANGE
FORT DAUPHIN,H178,FORT DAUPHIN,H156:H177,RANGE
FORT DAUPHIN,L178,FORT DAUPHIN,J178,CELL
FORT DAUPHIN,L178,FORT DAUPHIN,K178,CELL
FORT DAUPHIN,L179,FORT DAUPHIN,J179,CELL
FORT DAUPHIN,L179,FORT DAUPHIN,K179,CELL
FORT DAUPHIN,L180,FORT DAUPHIN,J180,CELL
FORT DAUPHIN,L180,FORT DAUPHIN,K180,CELL
FORT DAUPHIN,L181,FORT DAUPHIN,J181,CELL
FORT DAUPHIN,L181,FORT DAUPHIN,K181,CELL
FORT DAUPHIN,G182,FORT DAUPHIN,E182,CELL
FORT DAUPHIN,H182,FORT DAUPHIN,F182,CELL
FORT DAUPHIN,G183,FORT DAUPHIN,E183,CELL
FORT DAUPHIN,H183,FORT DAUPHIN,F183,CELL
FORT DAUPHIN,G184,FORT DAUPHIN,E184,CELL
FORT DAUPHIN,H184,FORT DAUPHIN,F184,CELL
FORT DAUPHIN,G185,FORT DAUPHIN,E185,CELL
FORT DAUPHIN,H185,FORT DAUPHIN,F185,CELL
FORT DAUPHIN,G186,FORT DAUPHIN,E186,CELL
FORT DAUPHIN,H186,FORT DAUPHIN,F186,CELL
FORT DAUPHIN,G187,FORT DAUPHIN,E187,CELL
FORT DAUPHIN,H187,FORT DAUPHIN,F187,CELL
FORT DAUPHIN,G188,FORT DAUPHIN,E188,CELL
FORT DAUPHIN,H188,FORT DAUPHIN,F188,CELL
FORT DAUPHIN,G189,FORT DAUPHIN,G182:G188,RANGE
FORT DAUPHIN,H189,FORT DAUPHIN,H182:H188,RANGE
FORT DAUPHIN,G191,FORT DAUPHIN,E191,CELL
FORT DAUPHIN,H191,FORT DAUPHIN,F191,CELL
FORT DAUPHIN,L191,FORT DAUPHIN,J191,CELL
FORT DAUPHIN,L191,FORT DAUPHIN,K191,CELL
FORT DAUPHIN,G192,FORT DAUPHIN,E192,CELL
FORT DAUPHIN,H192,FORT DAUPHIN,F192,CELL
FORT DAUPHIN,L192,FORT DAUPHIN,J192,CELL
FORT DAUPHIN,L192,FORT DAUPHIN,K192,CELL
FORT DAUPHIN,G193,FORT DAUPHIN,E193,CELL
FORT DAUPHIN,H193,FORT DAUPHIN,F193,CELL
FORT DAUPHIN,L193,FORT DAUPHIN,J193,CELL
FORT DAUPHIN,L193,FORT DAUPHIN,K193,CELL
FORT DAUPHIN,G194,FORT DAUPHIN,E194,CELL
FORT DAUPHIN,H194,FORT DAUPHIN,F194,CELL
FORT DAUPHIN,L194,FORT DAUPHIN,J194,CELL
FORT DAUPHIN,L194,FORT DAUPHIN,K194,CELL
FORT DAUPHIN,G195,FORT DAUPHIN,G191:G194,RANGE
FORT DAUPHIN,H195,FORT DAUPHIN,H191:H194,RANGE
FORT DAUPHIN,L195,FORT DAUPHIN,J195,CELL
FORT DAUPHIN,L195,FORT DAUPHIN,K195,CELL
FORT DAUPHIN,G197,FORT DAUPHIN,E197,CELL
FORT DAUPHIN,H197,FORT DAUPHIN,F197,CELL
FORT DAUPHIN,L197,FORT DAUPHIN,J197,CELL
FORT DAUPHIN,L197,FORT DAUPHIN,K197,CELL
FORT DAUPHIN,G198,FORT DAUPHIN,G197,CELL
FORT DAUPHIN,H198,FORT DAUPHIN,H197,CELL
FORT DAUPHIN,L198,FORT DAUPHIN,J198,CELL
FORT DAUPHIN,L198,FORT DAUPHIN,K198,CELL
FORT DAUPHIN,G199,FORT DAUPHIN,E199,CELL
FORT DAUPHIN,H199,FORT DAUPHIN,F199,CELL
FORT DAUPHIN,G200,FORT DAUPHIN,E200,CELL
FORT DAUPHIN,H200,FORT DAUPHIN,F200,CELL
FORT DAUPHIN,G201,FORT DAUPHIN,E201,CELL
FORT DAUPHIN,H201,FORT DAUPHIN,F201,CELL
FORT DAUPHIN,L201,FORT DAUPHIN,J201,CELL
FORT DAUPHIN,L201,FORT DAUPHIN,K201,CELL
FORT DAUPHIN,G202,FORT DAUPHIN,E202,CELL
FORT DAUPHIN,H202,FORT DAUPHIN,F202,CELL
FORT DAUPHIN,L202,FORT DAUPHIN,J202,CELL
FORT DAUPHIN,L202,FORT DAUPHIN,K202,CELL
FORT DAUPHIN,G203,FORT DAUPHIN,G201:G202,RANGE
FORT DAUPHIN,H203,FORT DAUPHIN,H201:H202,RANGE
FORT DAUPHIN,L203,FORT DAUPHIN,J203,CELL
FORT DAUPHIN,L203,FORT DAUPHIN,K203,CELL
FORT DAUPHIN,L204,FORT DAUPHIN,J204,CELL
FORT DAUPHIN,L204,FORT DAUPHIN,K204,CELL
FORT DAUPHIN,L205,FORT DAUPHIN,J205,CELL
FORT DAUPHIN,L205,FORT DAUPHIN,K205,CELL
FORT DAUPHIN,L206,FORT DAUPHIN,J206,CELL
FORT DAUPHIN,L206,FORT DAUPHIN,K206,CELL
FORT DAUPHIN,L207,FORT DAUPHIN,J207,CELL
FORT DAUPHIN,L207,FORT DAUPHIN,K207,CELL
FORT DAUPHIN,L208,FORT DAUPHIN,J208,CELL
FORT DAUPHIN,L208,FORT DAUPHIN,K208,CELL
FORT DAUPHIN,G209,FORT DAUPHIN,E209,CELL
FORT DAUPHIN,H209,FORT DAUPHIN,F209,CELL
FORT DAUPHIN,L209,FORT DAUPHIN,J209,CELL
FORT DAUPHIN,L209,FORT DAUPHIN,K209,CELL
FORT DAUPHIN,G210,FORT DAUPHIN,E210,CELL
FORT DAUPHIN,H210,FORT DAUPHIN,F210,CELL
FORT DAUPHIN,G211,FORT DAUPHIN,G210,CELL
FORT DAUPHIN,H211,FORT DAUPHIN,H210,CELL
FORT DAUPHIN,G212,FORT DAUPHIN,E212,CELL
FORT DAUPHIN,H212,FORT DAUPHIN,F212,CELL
FORT DAUPHIN,G213,FORT DAUPHIN,E213,CELL
FORT DAUPHIN,H213,FORT DAUPHIN,F213,CELL
FORT DAUPHIN,G214,FORT DAUPHIN,E214,CELL
FORT DAUPHIN,H214,FORT DAUPHIN,F214,CELL
FORT DAUPHIN,G215,FORT DAUPHIN,E215,CELL
FORT DAUPHIN,H215,FORT DAUPHIN,F215,CELL
FORT DAUPHIN,G216,FORT DAUPHIN,G214:G215,RANGE
FORT DAUPHIN,H216,FORT DAUPHIN,H214:H215,RANGE
FORT DAUPHIN,G217,FORT DAUPHIN,E217,CELL
FORT DAUPHIN,H217,FORT DAUPHIN,F217,CELL
FORT DAUPHIN,G218,FORT DAUPHIN,E218,CELL
FORT DAUPHIN,H218,FORT DAUPHIN,F218,CELL
FORT DAUPHIN,L218,FORT DAUPHIN,J218,CELL
FORT DAUPHIN,L218,FORT DAUPHIN,K218,CELL
FORT DAUPHIN,G219,FORT DAUPHIN,E219,CELL
FORT DAUPHIN,H219,FORT DAUPHIN,F219,CELL
FORT DAUPHIN,L219,FORT DAUPHIN,J219,CELL
